"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"1163861270","","","","","2009-01-31 05:14:34 +0000","<a href=""http://m.twitter.com/"" rel=""nofollow"">mobile web</a>","wandering back and forth in a building that's literally a mile long."
"1122649113","","","","","2009-01-16 02:04:10 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","Do not let people mislabel the US Air landing a ""miracle"". It was the result of education, experience, skill and competence. Not magic."
"1122080279","","","","","2009-01-15 21:42:47 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","I'm really struck by how much people want to *announce* the US Air plane crash (and rescue), even if people already know. Interesting urge."
"1120296303","1119846706","783214","","","2009-01-15 05:13:40 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","@twitter I will pay you $14.50 to replace @stevenbjohnson with me as a suggested user when people sign up for Twitter. #freebusinessmodel"
"1117647562","","","","","2009-01-14 05:44:20 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","Everybody was making fun of my beat up old phobe but they don't know it's only banged up because I TALK SO HARD MY PHONE GETS BRUISED."
"1117191354","","","","","2009-01-14 01:36:56 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","I ordered four shackburgers, three fries, two drinks and a cheeseburger, and he asked if it was to stay or to go. Even though I'm alone."
"1113611815","","","","","2009-01-12 18:01:40 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","Today is my wife's birthday, the day each year when I must confront that she is both more mentally mature and younger-looking than me."
"1107116808","","","","","2009-01-09 16:57:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","To the Hare Krishna trying to greet me with ""Hello, Brother!"" just a little note: I ain't your brother. Go on with your bongo drums."
"1103989543","","","","","2009-01-08 08:47:30 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","Sanjay Gupta must have gotten word that I'm gunning for best-known Indian media guy and decided to step up his game. C. Everett Koop my ass."
"1100914232","","18011271","","","2009-01-07 02:18:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","@kanyewest I am really serious, I think you should reach out to P.M. Dawn. We need them back in our lives, and only you can help."
"1094774613","","","","","2009-01-04 06:17:42 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","Our fridge sometimes emits a plaintive whine exactly like the intro to Jeff Buckley's ""Lover, You Should've Come Over"". This pleases me."
"1092525819","","","","","2009-01-03 00:15:18 +0000","web","Just realizing, I am speculating about enemies placing curses on me, yet I don't know who my enemies are. Reveal yourselves, secret foes!"
"1092064927","","","","","2009-01-02 19:22:59 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","I inexplicably have that ""lime in the coconut"" song stuck in my head, so whichever of my enemies put a curse on me: it worked!"
"1090288315","","","","","2009-01-01 18:53:58 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","Now I just need a resolution that works as well as last year's did. Of course, my 2008 resolution was ""Be Less Forgiving"", so that was easy."
"1090286126","","","","","2009-01-01 18:52:18 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","Happy birthday to my friends born on January 1 and to everybody who signs up for websites but leaves their birthdate as 1/1 due to laziness."
